City,Category,POI,Description,Country
Madrid,see,Thyssen-Bornemisza Museum of Art,"Contains a large art collection including masterpieces by Monet, Goya, Degas, Renoir, Van Gogh, Picasso, Mondrian, Bacon and Lichtenstein.",Spain
Madrid,see,Caixa Forum,"A private centre particularly well-known for the ""vertical garden"" by Patrick Blanc installed on a wall in front of the museum, as well as the quite special architecture of the building itself. The vertical garden can be seen from the street outside, just a block south of the Thyssen-Bornemisza and across from the Prado. The museum only displays temporary exhibitions, usually of a very high quality, in fields ranging from archaeology to contemporary art and architecture.",Spain
Madrid,see,Naval Museum,Beautiful museum with vast interesting collections about Spanish sailing.,Spain
Madrid,see,Museo de América,"An excellent museum that many tourists miss. Houses thousands of artifacts from the Americas. The exhibit displays objects from many native cultures from before European conquest to colonial times and beyond. Don't miss the Tesoro (Treasure) de los Químbayas, a collection of gold objects that was given as a gift by the Colombian government. Also of interest is the Tudela Codex, an Aztec law book from the 1500s. Beware: most explanations to the objects on display are in Spanish only.",Spain
Madrid,see,"Museo de San Isidro, los Origenes de Madrid","This is a museum of two parts. One part is dedicated to Saint Isidore the Laborer, while the other part is dedicated to the paleontology and archaeology of the region of Madrid from prehistory to 1561 (when Philip II made Madrid the seat of the court). Most of the exhibits are explained in both Spanish and English.",Spain
Madrid,see,Museo de Historia de Madrid,"This museum is dedicated to the history of Madrid from 1561 to present. Much of the history is explained by referencing exhibited paintings depicting people or events from the time, so it is also an art museum. Several maps and models (including two large ones in the basement) show how Madrid grew since the 16th century. All exhibits are explained in both English and Spanish.",Spain
Madrid,see,Museo Lázaro Galdiano,"This museum houses the stunning collection of Spanish entrepreneur José Lázaro Galdiano (1862-1947) and is considered to be one of the best private collections in Spain. Not only will you find works by Goya, Velázquez, El Greco and others - the museum is also filled with jewelry, furniture, sculpture and ceramics. It is located in Lázaro Galdiano's rather lavish former residence. This is an excellent museum that is usually not crowded and well worth the price of admission.",Spain
Madrid,see,Museo Sorolla,This museum is in what was the impressionist painter's house and features fine furniture and porcelain as well as his paintings.,Spain
Madrid,see,Museo del Traje,"Offers a wide selection of historical and more temporary costumes (from the early 1200s to now) which shows the aspects of different cultures and Spain. The museum also organizes many activities and events. The building itself won some architectural awards in the 1970s. The restaurant underneath the museum is fairly good. The museum is surrounded by sprawling gardens, replete with well maintained lawns and fountains, are a pleasant place to relax.",Spain
Madrid,see,National Archeology Museum,"Don't let the sound of it frighten you. This large, well-designed museum opened again in April 2014 after several years of renovation works. It houses an incredible collection of archaeological finds from across the peninsula. It leaves the visitor with a sense of the chronology of civilization in Spain (Iberian, Phoenician, Greek, Roman, Visigoth, Arab, and into the modern age). The famous Dama de Elche, an Iberian (pre-Roman) goddess statue, is in this museum. There are also a few pieces from ancient Egypt and Mesopotamia.",Spain
Madrid,see,Real Academia de Bella Artes de San Fernando,"Highly impressive art collection with paintings, sculptures, drawings and prints. Several Goya masterpieces.",Spain
Madrid,see,San Antonio de La Florida Hermitage,"This small church is famous for its murals, painted by Goya. It's also the mausoleum of the painter.",Spain
Madrid,see,Planetario de Madrid,"Features several exhibits related to space exploration, two screens playing documentaries, an interactive area and, of course, the planetarium. Projections last 45 minutes each. Different ones play on different days so check their website. Note that all the exhibits are explained in Spanish only and the projections in the planetarium are also in Spanish.",Spain
Madrid,see,Museo de Ferrocarril de Madrid,"Museum with four railway tracks, exhibiting a large number of steam, diesel and electric locomotives used in Spain in the 19th and 20th century. Also on display are several model railways. Exhibits are described in Spanish only.",Spain
Madrid,see,Museo Nacional de Ciencia y Tecnologia,"This is a museum dedicated to the history of science and technology, exhibiting scientific instruments and consumer products from the last few centuries. It also contains a large educational hall, explaining natural phenomena with practical hands-on exhibits (fun for children). Many exhibits are described in English and Spanish, although some sections have only a summary in English.",Spain
Madrid,see,Museo Nacional de Ciencias Naturales,"Contains a large collection of fossils and minerals, plus educational exhibits (some are described in English but many are in Spanish only). Has two parts open to visitors with separate entrances. The ticket is purchased at the main entrance and to visit the other part you need to exit from the main entrance, turn left and follow the building until you reach the second entrance. Your ticket will be checked again there so don't lose it.",Spain
Madrid,see,Museo Geominero,"Part of the Spanish Institute of Geology and Mining, this museum is dedicated to Geology (with a focus on Mineralogy) and Paleontology, containing an impressive collection of fossils and minerals discovered on the territory of Spain and abroad. Also contains educational exhibits, although all are described in Spanish only. The interior of the building is just as impressive and may be worth a quick tour even if you are not particularly interested in Paleontology and Mineralogy.",Spain
Madrid,see,Museo Nacional de Antropologia,"Small but interesting museum with artefacts and models from the indigenous people of Asia (mainly the Philippines, former colony of Spain), Africa and America. The exhibits are described in Spanish, however on each floor there is a leaflet in English explaining all sections.",Spain
Madrid,see,Fundación Juan March,"A few blocks off high-end shopping street Calle Serrano, this private foundation houses free temporary exhibitions of (mostly 20th-century) art which are often worth checking out. 10-15min walk from either Museo Lázaro Galdiano or National Archaeology Museum.",Spain
Madrid,see,El Retiro Park,"The main park of Madrid, the perfect place to take a rest during a sunny day, or take part in the drum circles around the statue of Alphonso XII on summer evenings. There is a large boating lake where one can hire a rowing boat - great fun for the children! There is a monument to the victims of the Madrid 3/11 terrorist bombings, the ''Forest of the Absent'', and the ''Crystal Palace'', a large structure entirely made of glass. Sunday afternoons in summer are a treat in the park, where young hippies play bongos and dance.",Spain
Madrid,see,Parque del Capricho,"One of the most beautiful parks in Madrid. Built in 1797-1839, it has a strong Romanticism influence. Declared as an Historic Garden, its lakes with swans and ducks, labyrinths, palaces, squares and fountains makes this a lovely place.",Spain
Madrid,see,Templo de Debod,"An Egyptian temple, located in one of Madrid′s most beautiful parks. Near the Royal Palace and Plaza de España, it was a present given by Egypt to Spain for its role in saving the temple of Abu Simbel from the floodwaters of Lake Nasser following the construction of the Aswan Dam in southern Egypt. A great place to watch the sunset.",Spain
Madrid,see,Rosaleda del Parque del Oeste,"The rose garden of Madrid, located in the same park as the Templo de Debod. If you like roses and are in Madrid when they have flowered, definitely worth a visit. The garden holds an international competition yearly.",Spain
Madrid,see,La Casa de Campo,The park at the rear of the Palacio Real which used to belong to the Royal family. Much of the park has been taken to smaller activity parks such as the Zoo but in general it's peaceful. From Moncloa you can take a ''teleferico'' (5.90 € return) across into the park.,Spain
Madrid,see,Zoo Aquarium Madrid,See the Pandas. Pet the Lemurs. Watch the Dolphin show. Enjoy the Bird show.,Spain
Madrid,see,Faunia,"Zoological park. Different sections of the park include animals from different locations (Africa, Antarctica etc..)",Spain
Madrid,do,Circulo de Bellas Artes,"A non-profit cultural center located a short walk from Sol, the CBA offers up a wide variety of events and shows including film, music, art displays, dance, theater and more. See the website (in Spanish) for a list of activities.",Spain
Madrid,do,Corral de la Moreria,"One of the most famous flamenco ''tablaos'' in the world. It′s right in the heart of the city, and you can enjoy a full fledged Spanish meal while you watch performances by renowned international flamenco music and dance artists.",Spain
Madrid,do,Las Tablas,A very popular Tablao located near the Plaza España metro station. The package consisting of a Flamenco show (at 9 or 10PM) with a candle-lit dinner and a glass of Sangria wine is truly a treat.,Spain
Madrid,do,Tablao Flamenco Cardamomo,"Authentic Flamenco show in the center of Madrid, one of the gratest ''tablaos flamencos'' all over Spain, typical Spanish food during the performance.",Spain
Madrid,do,Cafe De Chinitas,A great show lasting about 90 minutes. Unbelievable amount of energy and passion put in by the performers. There is an option to have dinner as well but that is a separate package and costs more.,Spain
Madrid,do,Sala Marco Aldany,National touring acts for rock and pop music.,Spain
Madrid,do,La Riviera,Another large venue for touring rock and pop bands.,Spain
Madrid,do,Gruta 77,"Concerts everyday; pop, rock, punk",Spain
Madrid,do,Spanish National Orchestra,"Performs every Fri, Sat and Sun at the '''Auditorio Nacional''' on Calle Principe de Vergara. The Auditorio Nacional is also the main concert venue for the symphonic concerts of the Community of Madrid Orchestra and the Madrid symphony Orchestra and the main venue for touring classical artists and orchestras.",Spain
Madrid,do,Teatro Real (Royal Theatre),The main opera theatre in Madrid.,Spain
Madrid,do,Teatro de la Zarzuela,The Spanish version of the Operetta (Zarzuela) is performed here.,Spain
Madrid,do,Orquesta de Radio Televisión Española,Performs every Thu and Fri at the '''Teatro Monumental''' on Calle Atocha.,Spain
Madrid,do,Auditorio 400 of the Museo Centro de Arte Reina Sofia,The main venue for contemporary music.,Spain
Madrid,do,Banda Municipal de Madrid,Performs in El Retiro Park in the summer.,Spain
Madrid,do,Real Madrid,"For football fanatics, a trip to the ''Santiago Bernabeu'', the home of local club Real Madrid is not to be missed. Real Madrid is the most successful football club in Spain and Europe, having been crowned Spanish champions a record 32 times and European champions a record 11 times. Their biggest rivals by far are FC Barcelona, with which it contests matches known popularly as ''El Clásico'' at least twice a year. The rivalry between the two sides is by far the biggest in Spain and one of the most intense in the world, and stems from the longstanding traditional rivalry between the Spanish and Catalan speaking parts of Spain. As such, tickets for such matches often sell out very quickly. In case you arrive in Madrid on non-match periods, you can take a self-guided tour of the Santiago Bernabeu Stadium. It includes tours around the field, the dressing rooms, the Press Room and the Real Madrid Museum where the trophies and other memorabilia are kept. Without a loyalty card, the typical fees for adults is €16. However, a few days before a match, the chances are you will not be able to take the full tour, but only a part of it, with at least the Real Madrid Museum, at a reduced price.",Spain
Madrid,do,Atlético de Madrid,"Plays games in the Vicente Calderón stadium. The club is one of the most successful in Spanish League history, having won both La Liga and the Copa del Rey on ten occasions, including a double in 1996. They also won the European Cup Winners Cup in 1962, were European Cup runners-up in 1974 and 2014, Intercontinental Cup winners in 1975 and more recently won the UEFA Europa League both in 2010 and 2012.",Spain
Madrid,do,Getafe Club de Fútbol,"Plays games at Coliseum Alfonso Pérez in Getafe, one of the dormitory cities of Madrid.",Spain
Madrid,do,Rayo Vallecano,"Plays games at Estadio Teresa Rivero. A popular team from the Vallecas area in Madrid, known for its alternative culture and left-wing ultras.",Spain
Madrid,do,Las Ventas Bullring,"The birth place of bullfighting. Unless you find this spectacle distasteful, this is a must see if you visit Madrid during the bullfighting season (May, during ''San Isidro''). Tickets may nevertheless be expensive and hard to get for the more important ''corridas''. Anyway, it usually is used as a venue for shows and concerts.",Spain
Madrid,do,Madrid Tennis Master 1000,Held in mid-May at La Caja Mágica.,Spain
Madrid,do,Yelmo Cineplex Ideal,"Probably the best known V.O. theater in Madrid, it offers the largest selection of movies and is only a short walk from Sol.",Spain
Madrid,do,"Cine Doré, la Filmoteca Española","This is a wonderful, old Spanish theater dating from the 1920s. It has three screens and shows mainly ""art-house"" and critically acclaimed films in V.O. In the summertime, they screen movies on the roof.",Spain
Madrid,do,Cinesa Proyecciones 3D,"This is a great movie theatre showing all of the latest movies. It has both 3D movies and normal movies. There is also a shop in the movie theatre where they sell all kinds of candy, drinks, and popcorn. Great for children!",Spain
Madrid,do,Cinesa Dreams Palacio de Hielo,"This cinema is located in a shopping mall know for its ice-skating ring. It is a great place where teenagers can hang out since the mall also has restaurants, bars, and shops.",Spain
Madrid,do,Kinepolis,"Outside the city, in the suburb of Pozuelo de Alarcon. The largest megaplex in the world by number of seats. Has 25 screens. The offer of movies shown in their original version is increasing.",Spain
Madrid,do,La Transhumancia,"Annual event during which the center of Madrid is free of cars and is instead filled with shepherds exercising their ancient right to drive sheep and livestock through the city. [[File:Bandera Gay, Dia del Orgullo Gay, Madrid.JPG|thumb|Madrid Gay Pride 2008]]",Spain
Madrid,do,Madrid Gay Pride,"Annual event held between the last week of June and the first of July, with more than 1.5million people in the street from all across the world. It began as a weekend party, but lately turned into a full week extravaganza.",Spain
Madrid,do,Madrid Fly,Madrid's first indoor skydiving facility. Perfect fun adventure for the entire family.,Spain
Madrid,other,Academia Eureka,"Academia Eureka is a Spanish language school located in the heart of Madrid near Puerta del Sol. The school's sole objective is teaching Spanish as a foreign language. Academia Eureka is accredited by the Instituto Cervantes and has been offering Spanish classes since 1988. The school offers optional housing : on-site or with a Spanish family and provides after-school activities and excursions. Classes start on Monday and all 6 levels (A1, A2, B1, B2, C1 and C2) are offered. Class sizes are small with a maximum of 8 students per class.",Spain
Madrid,other,AIL Madrid,AIL Madrid is an Instituto Cervantes - accredited Spanish Language School that offers a wide range of Spanish classes for adult students of all ages. 16 different Spanish courses and free 10 hours a week/ 2 hours a day of cultural activities. Average class size 6 persons.,Spain
Madrid,other,Inhispania,"Inhispania is specialized in teaching Spanish language and culture. It is an Accredited School by the Instituto Cervantes with an excellent location near Puerta del Sol offering intensive and regular programs, in smalls groups, for all levels and during the whole year. The school also organizes after-school actitivies and offers an optional accommodation service.",Spain
Madrid,other,Don Quijote,great school where you can take 4-6 hours of courses a day. All courses including beginner courses are taught entirely in Spanish.,Spain
Madrid,other,Babylon Idiomas,They offer a wide range of different Spanish courses with qualified and experienced native teachers. The school is accredited by Instituto Cervantes and is located in the very heart of the city. New courses start every Monday.,Spain
Madrid,other,Linguaschools Madrid,Offers Spanish courses for foreigners all year round. Students with previous knowledge can start any Monday. For absolute beginners there are fixed start dates.,Spain
Madrid,other,PopEnglish,"Offers English, German, Italian, French, Swedish and Spanish courses for individuals and companies in Madrid.",Spain
Madrid,other,Spanish Abroad,Spanish school.,Spain
Madrid,other,Cambio Idiomas,"Cambio Idiomas is a greatly well communicated language academy in the business center of Madrid, specialized in Spanish courses for expats. We offer a number of courses in different languages, levels and with different objectives.",Spain
Madrid,other,La Aventura Española - LAE Madrid Spanish Language School,"La Aventura Española, Spanish school accredited by Instituto Cervantes, offers fun Spanish courses in reduced group sizes (max 6 people). Learn Spanish while enjoying Madrid.",Spain
Madrid,other,Velazquez Español para Extranjeros,Teaches Spanish to international students. Accredited by the Instituto Cervantes.,Spain
Madrid,other,TANDEM Madrid Spanish school,"Offers Spanish courses for foreigners and English or German courses for Spaniards. Located in a beautiful palace in Barrio de las Letras, Madrid city centre. Humanistic teaching approach, combining Neuro-Linguistic Programming with other innovative techniques.",Spain
Madrid,buy,El Corte Inglés Preciados,"Occupying the full first few blocks of the pedestrian boulevard Calle Preciados, El Corte Inglés serves as a gateway to the shopping paradise from Puerta de Sol",Spain
Madrid,buy,El Corte Inglés Plaza de Callao,"A much smaller store is to be found at the other end of Calle Preciados. Not quite a looker from the outside, it holds a top-floor restaurant with brilliant views over the Gran Via",Spain
Madrid,buy,El Corte Inglés Nuevos Ministerios,"If for some reason you will end up in the concrete jungle of Nuevos Ministerios with time to kill, there is an 8-storey sprawling El Corte Inglés for your delight just over the station",Spain
Madrid,buy,El Rastro,"Madrid's largest flea market, featuring rows upon rows of private vendors selling a variety of homemade bads, and a plethora of live entertainment. It is very important to note that the Rastro is notorious for having an abundance of pickpockets, so watch your handbag closely and do not bring along valuables.",Spain
Madrid,buy,Cuesta de Moyano,A quaint outdoor book market,Spain
Madrid,buy,Fuencarral Market (Mercado de Fuencarral),"One of the most daring and dynamic spaces in the city. Besides shops selling clothes, shoes, accessories and decorative items, that will delight the most daring and fashion conscious shoppers, this modern market also offers avant-garde cultural activities on a continuous basis. Frequent disc jockey sessions are put on in the center’s café, and also exhibitions in the art gallery and cinema projections and theater pieces in the old cinema room. The Cinema and activities are open until midnight. Its 3 floors crowded of modern shops are aimed specially for young people.",Spain
Madrid,buy,El Mercado de San Miguel,"Sets the ambience of a traditional market, with the advantages of the new times. It has an Iron and Glass Structure from the 20th Century.",Spain
Madrid,buy,Mercado de la Cebada,"Large market hall next to La Latina metro with 3 large floors of dozens of vendors, each specializing in, for example, fruit, meat, cheese, or bread. There's even a bar inside.",Spain
Madrid,buy,Las Rozas Village Chic Outlet Shopping,"Fantastic outlet in the suburbs of Madrid with villa-like shops. It is part of the Chic Outlet Shopping Villages in Europe which has other villa-like outlets in Paris, Barcelona, Dublin, London, Milan, Brussels, Frankfurt, and Munich. [http://www.chicoutletshopping.com/] It offers up to 60% off in over 100 luxury brands such as Bally, Burberry, Hugo Boss Man and Woman, Pepe Jeans, Loewe, Desigual, Camper, Tommy Hilfiger and Versace.  In Las Rozas Village you can also find some coffee places like Starbucks and a few bars. It takes around 40 minutes to get there by car from the center of Madrid. A fantastic experience for a warm Sunday afternoon.",Spain
Madrid,eat,Freiduría de Gallinejas Embajadores,Another classic tapas bar in Madrid. Not for conservative stomachs. Their most popular tapas are two of the most typical and traditional dishes in Madrid: Gallinejas and Entresijos. A treat for adventurous palates and lamb-lovers.,Spain
Madrid,eat,Museo del Jamon,"Offers deli takeout service as well as tapas and raciónes at reasonable prices. They offer €1 ham sandwiches and a ""picnic"" lunch consisting of a said ham sandwich, fresh fruit and a drink for €2.",Spain
Madrid,eat,Cervecería 100 Montaditos,"Home to the famous 100 ""montaditos"" (small sandwiches), you'll find several branches dotted around the city. Great place to go for a cheap drink with a bite to eat. CURRENT OFFER: Buy a montadito (1-2 euro) and a pint of beer is just 1 euro!",Spain
Madrid,eat,Home Burger,THE place for serious hamburgers. Americans will feel at home!,Spain
Madrid,eat,Antigua Huevería,"The very best huevos rotos (""broken eggs"") and croquetas. Cheap, beautiful and delicious!! The chicken-adorned tiled front dates from the 19th century.",Spain
Madrid,eat,Tapería de Malasaña,Taperia with lunch room out the back. Reviews mixed about the tapas but great place for lunch; they do a great Cocido Madrileño and the house wine is more than acceptable (although served somewhat cold).,Spain
Madrid,eat,Alhambra,This is a good place to drop by on a hot afternoon to enjoy a cold beer and some Andalusian tapas. Sample the sausages and cheeses.,Spain
Madrid,eat,Al-Jaima (Cocina del Desierto),"This dark, cave-like Moroccan restaurant has some of the best North African food in the city. The seating is at low Moroccan-style tables and the calm, mellow atmosphere makes you feel like you're far from the bustling center of Chueca.",Spain
Madrid,eat,Bacchus,"Right in the middle of Lonja, an area filled with places to dine and drink. It is still close enough to city centre but offers a more relaxed ambience, making it one especially suitable for families, though all types of customers can be encountered. Bacchus offers a mixture of innovative and traditional-style tapas. Very good though expensive wine list. It can get very busy on weekends. Nice outside seating area makes up for the fact that inside it is rather small and, in traditional Tapas-bar style, somewhat littered.",Spain
Madrid,eat,Chocolatería San Ginés,"Specializing in chocolate con churros, this Madrid fixture is open 24 hours a day. The perfect place to top off a night on the town. Also offers the usual assortment of coffees and teas.",Spain
Madrid,eat,Cocina Mex-Mex,"This is a small, usually crowded, friendly Mexican restaurant with good food and drinks at reasonable prices. Sample some of their tacos and super-cheesy chilaquiles.",Spain
Madrid,eat,El Inti de Oro,"For something different, try this great Peruvian restaurant a short walk from Sol. Be sure to order some of their ceviche and try the Pisco Sour cocktail.",Spain
Madrid,eat,Estay,"A great place for tapas, they offer a large menu, reasonable prices and excellent quality food. The Solomillo al Foie is excellent and the deserts come highly-recommended as well. Very crowded on Friday and Saturday nights.",Spain
Madrid,eat,Jaen 3,"An excellent bar de tapas and restaurant. A nice place to enjoy Spanish food and lifestyle without spending too much. Being located just outside central Madrid, it's far from being a tourist trap and you can enjoy good food and true ""raciones"" (portions). The pleasant owners are very willing to share stories about Madrid and Spain more generally. In summer time it has a superb terrace, within a stones throw of the Olympic Stadium.",Spain
Madrid,eat,La Casa del Abuelo,"A Madrid landmark in operation for over 100 years, this bar attracts a standing room only crowd on the weekends. They mainly serve shrimp-based tapas dishes so if you're not into shellfish it may be advisable to steer clear. Order a plate of their garlic shrimp and accompany with their house wine.",Spain
Madrid,eat,La Mucca,"Nice designer restaurant popular within the 20s-30s crowd. Good music, cool people, even better food and cocktails. The kitchen opens in the afternoon.",Spain
Madrid,eat,La Zapateria Tapas Bar,Great potato dishes that come mixed with chorizo or other ingredients. Also try the pincho moruno (pork skewers) or something else displayed on ice in the front window. The Ribeiro on tap (sparkling white wine from Galicia) is not to be missed.,Spain
Madrid,eat,Malacatin,Serves typical Madrid cuisine.,Spain
Madrid,eat,Midnight Rose,"The ME Madrid Hotel´s restaurant. Mediterranean cuisine with Asian, American and Italian influences, with an emphasis on seasonal Produce. Dining for private parties is also provided.",Spain
Madrid,eat,Samm,"Best paella in Madrid, but only if you bring more than two people by order of the proprietor. Frequented mainly by locals, prepare to be stared at by the wait staff if you are from out of town.",Spain
Madrid,eat,Siam,"Beautifully-decorated with a tranquil atmosphere, the food is reasonable and offers a pleasant departure from Spanish fare, if so desired.",Spain
Madrid,eat,The Penthouse,"Located on the roof of the ME Madrid hotel, this terrace-style restaurant serves tapas and traditional cuisine. At night they serve great mojitos in a youthful, club-like atmosphere.",Spain
Madrid,eat,La Barraca,Recommended for paella if more authentic experience is sought. A meal for 2 with a drink each costs in the region of €50 Euros.,Spain
Madrid,eat,Botín,"Opened in 1725, Botín is listed in the Guinness Book of Records as the oldest operating restaurant in the world. Once a favourite of Ernest Hemingway, the menu still delights with specialities including roast suckling pig (cochinillo) and roast lamb (cordero). Insidersmadrid.com offers a tour of this institution.",Spain
Madrid,eat,Casa Lucio,"Pricey but worth it, the Spanish Royal family sometimes entertain guests here and you may run into a few sports figures and movie stars. You should definitely book ahead on the weekends, and reservations are recommended even for the weekdays. Known for their cocido, their roasts and their huevos rotos.",Spain
Madrid,eat,La Trainera,"A Madrid institution for decades, Trainera is an excellent but somewhat pricey restaurant serving strictly seafood dishes. They have a great wine selection and the waiters can recommend different vintages that will complement the food. Try the carabineros (giant scarlet shrimp) or the rodaballo (turbot). Usually closed in August.",Spain
Madrid,eat,Teatriz,"Built inside a former theatre, the restaurant counts with 4 spaces (restaurant, tapas, sushi bar, cocktail bar). Unique decoration and a wide range of dishes. Desserts are specially recommended.",Spain
Madrid,eat,Casa Nemesio,Seafood.,Spain
Madrid,eat,Telegrafo,"Arguably, the best seafood in Madrid.",Spain
Madrid,drink,El Tigre,"Probably the most well-known tapas bar in Madrid, a must do. Don't get frightened by how crowded the bar is and go in anyway. This is one of the most lively places in the city! Get beers, big glasses of wine or ""un mini de mojito"" and get free big plates of tapas every time you order. Very affordable.",Spain
Madrid,drink,La Esquina de Eusebio,"Trays of tapas are passed from one person to another in this typical bar of Madrid, absolutely not touristy but really worth it! And it's not so far from the center.",Spain
Madrid,drink,The Sherry Corner,"Sherry-tasting available in 8 languages. Commentary by knowledgeable oenologists explaining the details of the history, elaboration methods and tasting notes for each of the wines, while inviting guests to combine them with tapas served at different market stalls.",Spain
Madrid,drink,Café Central,"Café by day, live jazz music at night.",Spain
Madrid,drink,Cafe Circulo de Bellas Artes,"A soaring hall on the ground floor of Madrid´s art center combines atmosphere, excellent food and good coffee at reasonable prices. A wonderful place for lunch not far from Madrid´s shopping or museums.",Spain
Madrid,drink,Cafe Commercial,"opened in the 1880´s, this is the oldest cafe in Madrid. Has been run by the same family since the early 1900s. There´s a modern internet cafe upstairs, but the downstairs remains traditional.",Spain
Madrid,drink,Café Gijón,A historic literary cafe. The outdoor terraza is nice in the summer.,Spain
Madrid,drink,Café de Oriente,"Overlooks the Plaza Oriente and faces Palacio Real. Outdoor tables in summer, cozy indoor rooms in the cold months. Basement banquet room with a glass floor over ancient remains. Excellent food.",Spain
Madrid,drink,Café Pabellon del Espejo,"Opened in 1978, but looks much older. Good food and very crowded during lunchtime.",Spain
Madrid,drink,La Mallorquina,Famous for its pastries. Peaceful upstairs room where you can linger undisturbed over your café con leche and napolitana de chocolate (chocolate croissant).,Spain
Madrid,drink,La Tabacalera,An abandoned tobacco factory turned into a huge Berlin-like alternative art space driven by the diverse locals of Lavapies district. Also Tens of free workshops daily. Nice big cheap outdoors terrace.,Spain
Madrid,drink,Nuevo Café Barbieri,Slightly scruffy cafe draws an avante garde crowd at night.,Spain
Madrid,drink,El Rincón de Fogg,"Calle Juan de Urbieta 12. (''Metro: Pacífico''). Open daily from 07:00 to 22:00 and Friday and Saturday till 00:00. You can have 2 litres of sangría in a self service dispenser from just €14, or €13 for 2 litres of beer, and you get a free plate of patatas bravas. They also have a delicious selection of bocatas from €2,45. Big TV to watch the football matches while enjoying eating and drinking. If you say you've read this, they'll invite you to a glass of rosado wine.",Spain
Madrid,drink,Areia,"Very cool chill out bar decorated with deep colours in a Moroccan style. Dark and inviting. The seating includes cushions on the floor, traditional tables and chairs, or if you’re lucky, grab the four poster bed at the back.",Spain
Madrid,drink,La Corolla,"Specializes in delicious ‘tostas’ (small pieces of toast with different toppings) and avocado (aguacate), along with cañas (small beers).",Spain
Madrid,drink,La Via Lactea,A swingin' bar where you can twist the night away with local hipsters.,Spain
Madrid,drink,Miali,"Nice terrace outside,great for people-watching. The interior is tastefully decorated.",Spain
Madrid,drink,Museo Chicote,"Voted the Best European Bar 2004 by MTV-Campari. Extensive cocktail list. Claims to have served drinks to many famous celebrities, including, Ava Gardner, Frank Sinatra, Lana Turner, Gary Cooper, Orson Wells, Yul Brynner and Ernest Hemingway, Catherine Zeta Jones, Hugh Grant and Tim Robbins. They only serve drinks.",Spain
Madrid,drink,Redbar,"Small, cozy cocktail bar with great music and a very nice and original decoration. Extensive cocktail list.",Spain
Madrid,drink,Dubliners,An Irish bar in the centre of Madrid near Puerta del Sol. The bar has televisions and is one of the places where sport can be seen.,Spain
Madrid,drink,Stork Bar,Cocktail Lounge & World food in the heart of La Latina. Great summer terrace and surprising basement brick cave with live music and karaoke.,Spain
Madrid,drink,Xaloc Bar de Copas,"Discopub in the core of Barrio de las Letras. Great place with excellent prices but a good quality. The bar includes nice music, a DJ, and a moderately large dance floor.",Spain
Madrid,drink,Demode,Cool electronic sounds for 20s-30s.,Spain
Madrid,drink,El Sol,"Popular with the 20-30 age group. Plays a mix of 70s, funk, and bossanova sounds. No dress code, but people do tend to look cool.",Spain
Madrid,drink,Joy,Well known across Europe. Attracts at multi-national crowd. Popular with tourists as well as locals. It plays a mix of popular dance music. Every Thursday there is a Students Party.,Spain
Madrid,drink,Kapital,"Enormous club with 7 floors. However, despite it's popularity this club is usually not worth visiting. The owner has a policy to try and limit the number of foreigners in the club so if you are from anywhere except Spain, you will likely get bad treatment.",Spain
Madrid,drink,Ohm,Popular Commercial House club with a mixed young straight/gay crowd.,Spain
Madrid,drink,Pacha,Different dance music styles from night to night. Glitz and glamour. Strict doormen.,Spain
Madrid,drink,Stardust,Powerful Techno/House club popular within the younger crowd.,Spain
Madrid,drink,El Junco Jazz Club,"Smallish venue, starts the night with live jazz, later on morphs into relaxed night club. Not cheap (once inside, beer still €5.50, mixed drink €8.50), so attracts older crowd than others nearby.",Spain
Madrid,sleep,Casa España,"Cheap Breakfast: 2 Euro The nearest metro station is Plaza de España. Popular budget hostel in the city center. Free WiFi, linens included",Spain
Madrid,sleep,Hostal Jemasaca-Palma61,Breakfast (coffee + pastry + juice) is included in price and it's served in a cafe near hostel. The nearest metro station is Noviciado. The room includes own bathroom and TV. Quiet and clean basic hostel.,Spain
Madrid,sleep,Sol Hostel,"Rooms from 4 to 14 people, plus breakfast and internet (WIFI).",Spain
Madrid,sleep,Mad Hostel,"Nice, clean, quiet weekend hostel. 5 minutes from metro, tapas & services. 10 minute walk to Puerto del Sol, museums & Gran Via. Close to southern ""ethnic"" areas = good food. Big common room with 4 computer stations, unreliable WIFI & good free breakfast. Secure locker with every bed.",Spain
Madrid,sleep,Cat's Hostel,"Located in a 17th-century palace, but has a modern interior and is clean and secure. Breakfast and internet is included in the price and there is also a bar. It attracts a young backpackers clientele, but the crowd here is such that you're more likely to find partiers than hitchhikers. Shared dormitories for 4 to 14 people.",Spain
Madrid,sleep,Equity Point Madrid aka Hostal Metropol,"Features all-ensuite rooms (singles, doubles, 4-6 bed dorms). Free internet access, lively bar and restaurant.",Spain
Madrid,sleep,Los Amigos Backpackers Hostel,"Very central location. Breakfast is offered. There is a lounge area, a kitchen in which you are able to cook your own food, and a bar. The beds are clean, comfortable, and the staff are friendly.",Spain
Madrid,sleep,REAJ Youth Hostels,Operates 8 youth hostels in Madrid.,Spain
Madrid,sleep,Way Hostel Residence,"Small hostel, nice ambiance and is catered to young traveleres. Nice kitchen, friendly staff, and free internet.",Spain
Madrid,sleep,Hostal San Martin,"Small, clean guest-house on the 4th floor. Ideally located just meters from Gran Via, with great staff and free wi-fi. All rooms have sink & shower, but most share bathrooms.",Spain
